Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
Eiji Kawashima,GK,35,4.0,57,89,64.0,2253,1692,10,10,100.0,21,21,100.0,26,58,44.8,0,0.0,0.0,0,2,0,0,0,Matches,a4527d33
Yuto Nagatomo,DF,31,4.0,155,191,81.2,2365,853,88,98,89.8,51,63,81.0,11,19,57.9,1,0.3,+0.7,3,13,2,0,15,Matches,4b6960d2
Hiroki Sakai,DF,28,4.0,142,193,73.6,2368,945,63,71,88.7,65,82,79.3,10,27,37.0,0,0.1,-0.1,2,15,3,2,18,Matches,d63e2912
Maya Yoshida,DF,29,4.0,249,290,85.9,5013,1723,81,84,96.4,123,132,93.2,42,70,60.0,0,0.0,0.0,0,10,0,0,14,Matches,caffaf5a
Gaku Shibasaki,MF,26,3.8,193,245,78.8,3947,1016,71,80,88.8,80,97,82.5,38,60,63.3,1,0.5,+0.5,7,17,6,1,21,Matches,d2ac648c
Yuya Osako,FW,28,3.4,52,78,66.7,844,109,29,40,72.5,14,23,60.9,6,8,75.0,0,0.4,-0.4,6,3,2,0,3,Matches,f69fba57
Takashi Inui,FWMF,30,3.2,106,127,83.5,1686,326,53,60,88.3,47,55,85.5,6,12,50.0,1,0.6,+0.4,2,3,2,0,8,Matches,61bd33d0
Makoto Hasebe,MF,34,3.1,183,210,87.1,3292,596,74,81,91.4,84,94,89.4,21,28,75.0,0,0.0,0.0,1,12,0,0,6,Matches,9ab16552
Gen Shoji,DF,25,3.0,159,179,88.8,3310,1063,53,53,100.0,79,87,90.8,27,37,73.0,0,0.0,0.0,0,10,0,0,13,Matches,8b28686a
Genki Haraguchi,FWMF,27,2.7,73,86,84.9,1088,186,42,48,87.5,25,26,96.2,3,5,60.0,0,0.1,-0.1,2,5,1,1,4,Matches,f24ea523
Shinji Kagawa,MF,29,2.6,120,142,84.5,1747,386,73,79,92.4,35,40,87.5,6,13,46.2,1,0.6,+0.4,6,10,3,0,10,Matches,5afafbfe
Hotaru Yamaguchi,MF,27,1.2,91,99,91.9,1509,453,44,45,97.8,42,48,87.5,4,5,80.0,0,0.0,0.0,0,7,1,0,6,Matches,8c147c14
Tomoaki Makino,DF,31,1.0,77,87,88.5,1356,334,36,37,97.3,34,39,87.2,6,10,60.0,0,0.0,0.0,0,2,0,0,5,Matches,2b0b6462
Gōtoku Sakai,MF,27,1.0,14,17,82.4,200,56,10,11,90.9,3,5,60.0,1,1,100.0,0,0.0,0.0,1,2,0,0,3,Matches,c8e25f78
Yoshinori Mutō,FW,25,0.9,14,16,87.5,165,41,11,12,91.7,3,3,100.0,0,0,,0,0.0,0.0,0,1,1,0,1,Matches,5343eb4e
Shinji Okazaki,FWMF,32,0.8,13,18,72.2,146,21,8,11,72.7,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,68796d61
Takashi Usami,MF,26,0.8,24,42,57.1,397,152,10,18,55.6,9,14,64.3,3,8,37.5,0,0.2,-0.2,2,3,2,0,5,Matches,2bed2986
Keisuke Honda,MFFW,32,0.6,30,41,73.2,335,114,19,23,82.6,6,10,60.0,1,4,25.0,1,0.2,+0.8,1,2,0,0,1,Matches,5cfc82a1
