Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ederson,br BRA,GK,29-053,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Erling Haaland,no NOR,FW,22-080,8.3,15,38,20,52.6,4.55,2.40,0.37,0.70,10.9,0,1,1,9.0,8.2,0.22,+6.0,+5.8,Matches
João Cancelo,pt POR,DF,28-135,8.2,2,9,2,22.2,1.10,0.24,0.22,1.00,22.3,0,0,0,0.3,0.3,0.04,+1.7,+1.7,Matches
Phil Foden,eng ENG,FW,22-134,7.3,6,20,12,60.0,2.74,1.64,0.30,0.50,12.1,0,0,0,3.5,3.5,0.17,+2.5,+2.5,Matches
Kevin De Bruyne,be BEL,MF,31-103,7.6,1,22,7,31.8,2.91,0.93,0.05,0.14,20.9,2,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Rodri,es ESP,MF,26-109,7.5,0,11,2,18.2,1.47,0.27,0.00,0.00,19.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Rúben Dias,pt POR,DF,25-148,7.5,0,5,1,20.0,0.67,0.13,0.00,0.00,8.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Bernardo Silva,pt POR,MFFW,28-060,6.9,2,9,3,33.3,1.31,0.44,0.22,0.67,14.9,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Matches
Kyle Walker,eng ENG,DF,32-134,6.2,0,1,0,0.0,0.16,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches
İlkay Gündoğan,de GER,MF,31-350,5.9,2,12,3,25.0,2.02,0.51,0.17,0.67,17.3,2,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
John Stones,eng ENG,DF,28-134,5.1,0,2,1,50.0,0.39,0.20,0.00,0.00,10.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Nathan Aké,nl NED,DF,27-233,4.3,0,3,0,0.0,0.69,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Jack Grealish,eng ENG,FW,27-029,3.5,1,5,2,40.0,1.42,0.57,0.20,0.50,14.2,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
Riyad Mahrez,dz ALG,FWMF,31-230,3.5,1,10,3,30.0,2.89,0.87,0.10,0.33,17.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Manuel Akanji,ch SUI,DF,27-082,3.0,0,3,0,0.0,1.00,0.00,0.00,,12.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Julián Álvarez,ar ARG,FWMF,22-251,2.3,2,7,4,57.1,3.04,1.74,0.29,0.50,15.1,0,0,0,0.8,0.8,0.12,+1.2,+1.2,Matches
Sergio Gómez,es ESP,DFMF,22-035,1.2,0,2,0,0.0,1.62,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Cole Palmer,eng ENG,MFFW,20-156,1.0,0,1,0,0.0,0.98,0.00,0.00,,19.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Rico Lewis,eng ENG,DFMF,17-322,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aymeric Laporte,es ESP,DF,28-135,0.2,0,1,0,0.0,5.63,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Kalvin Phillips,eng ENG,MF,26-311,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
